brewery,address,city,state,latitude,longitude,website
Philadelphia Brewing Co,2423 Amber St,Philadelphia,Pennsylvania,39.9827,-75.1275,http://philadelphiabrewing.com/index.htm
Piece,1927 West North Avenue,Chicago,Illinois,41.9104,-87.6761,
Pike Pub and Brewery,1415 First Avenue,Seattle,Washington,47.6081,-122.34,
Pinehurst Village Brewery,,Aberdeen,North Carolina,35.1315,-79.4295,
Pinnacle Peak Patio Steakhouse & Microbrewery,10426 East Jomax Road,Scottsdale,Arizona,33.7268,-111.853,
Pint's Pub Brewery and Freehouse,211 West 13th Avenue,Denver,Colorado,39.7369,-104.991,
Pizza Beer,5N404 Harvest Lane,St Charles,Illinois,41.9455,-88.4507,http://www.mammamiapizzabeer.com/
Pizza Port Brewing - Solana Beach,135 North Highway 101,Solana Beach,California,32.9908,-117.272,http://www.pizzaport.com
Pizzeria Uno Chicago Grill & Brewery,61 US Highway 1 South,Metuchen,New Jersey,37.2283,-77.3903,
Platte Valley Brewing,14 East Railroad,Kearney,Nebraska,40.6954,-99.0812,
Pleasanton Main Street Brewery,830 Main Street,Pleasanton,California,37.6645,-121.873,
Pony Express Brewing,,Olathe,Kansas,38.8814,-94.8191,
Port Brewing Company,155 Mata Way Suite 104,San Marcos,California,33.1406,-117.15,http://www.portbrewing.com/
Port Washington Brewing,,Port Washington,Wisconsin,43.3872,-87.8756,
Porterhouse Restaurant and Brewpub,5775 Lower Mountain Road,Lahaska,Pennsylvania,40.3341,-75.012,
Portland Brewing,2730 NW 31st Avenue,Portland,Oregon,45.5415,-122.713,
Portsmouth Brewery,56 Market Street,Portsmouth,New Hampshire,43.0781,-70.7575,http://www.portsmouthbrewery.com/
Prairie Rock Brewing - Elgin,127 South Grove Avenue,Elgin,Illinois,42.0347,-88.2819,
Prescott Brewing Company,130 W Gurley St,Prescott,Arizona,34.542,-112.47,http://prescottbrewingcompany.com/
Pug Ryan's Steakhouse and Brewery,104 Village Place,Dillon,Colorado,39.6282,-106.047,
Pugsley Brewing LLC,,Portland,Maine,43.6615,-70.2553,
Pumphouse Brewery & Restaurant,540 Main Street,Longmont,Colorado,40.1688,-105.102,
Pumphouse Pizza and Brewing,,Lake Delton,Wisconsin,43.6011,-89.7937,
"Pyramid Alehouse, Brewery and Restaurant - Berkeley",901 Gilman Street,Berkeley,California,47.5917,-122.335,
"Pyramid Alehouse, Brewery and Restaurant - Berkeley",901 Gilman Street,Berkeley,California,37.8806,-122.3,
Pyramid Ales Brewery,91 S Royal Brougham Way,Seattle,Washington,47.5924,-122.334,http://www.pyramidbrew.com/
Quigleys,257 Willbrook Blvd,Pawleys Island,South Carolina,33.4905,-79.116,
Raccoon Lodge and Brewpub / Cascade Brewing,7424 SW Beaverton-Hillsdale Hwy,Portland,Oregon,45.4856,-122.754,http://www.raclodge.com/
Raccoon River Brewing,200 North Tenth Street,Des Moines,Iowa,41.5841,-93.6296,
Rahr & Sons Brewing Company,701 Galveston Ave,Fortworth,Texas,32.7366,-97.3274,http://www.rahrbrewery.com/
Rail House Restaurant and Brewpub,2029 Old Peshtigo Road,Marinette,Wisconsin,45.0851,-87.6544,
Railway Brewing,,Anchorage,Alaska,61.2181,-149.9,
Ramapo Valley Brewery,143 Highway 59 Building 6,Hillburn,New York,41.1151,-74.147,
Randy's Fun Hunters Brewery Restaurant and Banquet Center,841 East Milwaukee Street,Whitewater,Wisconsin,42.832,-88.714,
Real Ale Brewing Company,231 San Saba Court,Blanco,Texas,30.113,-98.4156,http://www.realalebrewing.com/
ReaperAle,,Foothill Ranch,California,33.6864,-117.66,
Red Kettle Brewing,,Encinitas,California,33.037,-117.292,
Red Lodge Ales,417 North Broadway,Red Lodge,Montana,45.1913,-109.247,
Red Oak Brewery,6901 Konica Drive,Whitsett,North Carolina,36.0613,-79.5695,http://www.redoakbrewery.com
Red Star Brewery & Grille,101 Ehalt St.,Greensburg,Pennsylvania,40.3044,-79.5471,http://www.redstarbrewery.com/
RedFish New Orleans Brewhouse,2027 13th Street,Boulder,Colorado,40.0187,-105.279,
Redhook Ale Brewery,,Seattle,Washington,47.6062,-122.332,http://www.redhook.com/
Remington Watson Smith Brewing,,Waukesha,Wisconsin,43.0117,-88.2315,
Revolution Brewing LLC,2323 N Milwaukee Ave,Chicago,Illinois,41.9234,-87.6982,http://revbrew.com/
Richbrau Brewing Company,1214 East Cary St,Richmond,Virginia,37.5356,-77.4338,http://www.richbrau.com/
Rio Salado Brewing,,Tempe,Arizona,33.4148,-111.909,
River Horse Brewing Company,80 LAMBERT LANE,Lambertville,New Jersey,40.3688,-74.9477,http://www.riverhorse.com
River West Brewing,,Chicago,Illinois,41.85,-87.6501,
Rivers Effortless Dining,,Salt Lake City,Utah,40.638,-111.69,
Rivertowne Pour House,312 Center Rd,Monroeville,Pennsylvania,40.4465,-79.7642,http://www.myrivertowne.com/
Rock Art Brewery,254 Wilkins Street,Morrisville,Vermont,44.5693,-72.6034,http://www.rockartbrewery.com/
Rock Bottom Restaurant & Brewery - Chicago,1 West Grand Avenue,Chicago,Illinois,41.8915,-87.6284,
Rock Bottom Restaurant & Brewery - Denver,1001 16th Street #A-100,Denver,Colorado,39.7472,-104.995,
Rock Bottom Restaurant & Brewery - Milwaukee,740 North Plankinton Avenue,Milwaukee,Wisconsin,43.0399,-87.9117,
Rock Bottom Restaurant & Brewery - Minneapolis,800 LaSalle Plaza,Minneapolis,Minnesota,44.9765,-93.2747,
Rock Bottom Restaurant & Brewery - San Jose,1875 South Bascom Avenue #700,Campbell,California,37.2886,-121.933,
Rock Bottom Restaurant & Brewery - South Denver,9627 East County Line Road,Englewood,Colorado,39.5678,-104.874,
Rocky River Brewing,21290 Center Ridge Road,Rocky River,Ohio,41.4623,-81.856,
Rockyard Brewing,880 West Castleton Road,Castle Rock,Colorado,39.4091,-104.87,
Roffey Brewery,,Holland,Michigan,42.7875,-86.1089,
Rogue Ales,2320 SE OSU Drive,Newport,Oregon,44.6202,-124.052,http://www.rogue.com
Roost Brewery,200 East Campbell Avenue,Campbell,California,37.2869,-121.946,
Roots Organic Brewing,1520 SE Seventh Avenue,Portland,Oregon,45.5118,-122.659,
Ross Valley Brewing,,Fairfax,California,37.9871,-122.589,
Rothaus Brauerei,,Hartford,Wisconsin,43.3178,-88.379,
Route 66 Brewery,,Saint Louis,Missouri,38.647,-90.225,
Routh Street Brewery and Grille,,Dallas,Texas,32.789,-96.7989,
Rowland's Calumet Brewery,25 North Madison St,Chilton,Wisconsin,44.0291,-88.1629,http://rowlandsbrewery.com/
Roy Pitz Brewing Company,140 North Third Street,Chambersburg,Pennsylvania,39.939,-77.6566,http://roypitz.com/
Rubicon Brewing,2004 Capitol Avenue,Sacramento,California,38.5731,-121.481,
Rush River Brewing,990 Antler Court,River Falls,Wisconsin,44.8902,-92.6378,
Russian River Brewing,725 Fourth Street,Santa Rosa,California,38.4418,-122.712,http://www.russianriverbrewing.com/
Sacramento Brewing Company,2713 El Paseo Lane,Sacramento,California,38.6191,-121.4,http://sacbrew.blogspot.com/
Saint Arnold Brewing,2522 Fairway Park Drive,Houston,Texas,29.8123,-95.4675,http://www.saintarnold.com
Saint Louis Brewery / Schlafy Tap Room,2100 Locust Street,Saint Louis,Missouri,38.633,-90.21,http://www.schlafly.com/
Saint Somewhere Brewing Company,1441 Savannah Ave Unit E,Tarpon Springs,Florida,28.1646,-82.7717,http://www.saintsomewherebrewing.com/
Salado Creek Brewing Company,,San Antonio,Texas,29.4241,-98.4936,
Salt Lake Brewing - Squatters,147 West Broadway,Salt Lake City,Utah,40.7626,-111.895,
"Sam Choy's Breakfast, Lunch, Crab & Big Aloha Brewery",580 North Nimitz Highway,Honolulu,Hawaii,21.3069,-157.858,
San Diego Brewing,10450-L Friars Road,San Diego,California,32.7922,-117.099,
San Marcos Brewery & Grill,1080 West San Marcos Boulevard,San Marcos,California,33.1345,-117.191,
Sand Creek Brewing Company,320 Pierce St,Black River Falls,Wisconsin,44.2929,-90.8511,http://www.sandcreekbrewing.com/
SandLot Brewery at Coors Field,2145 Blake Street,Denver,Colorado,39.7557,-104.993,
Sanford's Grub and Pub,5 East Alger Street,Sheridan,Wyoming,44.8007,-106.956,
Santa Barbara Brewing,501 State Street,Santa Barbara,California,34.4166,-119.696,
Santa Cruz Brewing,,Santa Cruz,California,36.9741,-122.031,
Santa Fe Brewing Company,35 Fire Place,Santa Fe,New Mexico,35.5966,-106.052,http://www.santafebrewing.com/
Santa Rosa Brewing,,Santa Rosa,California,38.4405,-122.714,
Saxer Brewing,,Lake Oswego,Oregon,45.4207,-122.671,
Schooner Brewery,,Dallas,Texas,32.803,-96.7699,
Schooner's Grille & Brewery,4250 Lone Tree Way,Antioch,California,37.9669,-121.783,
Scuttlebutt Brewing,1524 West Marine View Drive,Everett,Washington,47.9975,-122.214,
Sea Dog Brewing Company,26 Front Street,Bangor,Maine,44.7974,-68.77,http://www.seadogbrewing.com/
Seabright Brewery,519 Seabright Avenue #107,Santa Cruz,California,36.9676,-122.008,
Second Street Brewery,1814 Second Street,Santa Fe,New Mexico,35.6631,-105.966,http://www.secondstreetbrewery.com/
Selin's Grove Brewing Co.,121 North Market St.,Selinsgrove,Pennsylvania,40.801,-76.8614,http://www.selinsgrovebrewing.com/
Sequoia Brewing Conoabt,777 East Olive Avenue,Fresno,California,36.7582,-119.802,http://www.sequoiabrewing.com/
Sharktooth Brewing,,Kahului,Hawaii,20.8947,-156.47,
Sherlock's Home,,Minnetonka,Minnesota,44.9133,-93.5033,
Ship Inn Brewpub,61 Bridge Street,Milford,New Jersey,40.5684,-75.0954,
Shipwrecked Brew Pub,7791 Egg Harbor Road,Egg Harbor,Wisconsin,45.0495,-87.2802,
Shipyard Brewing - Portland,86 Newbury Street,Portland,Maine,43.6619,-70.2489,http://www.shipyard.com/
Shmaltz Brewing Company,,San Francisco,California,37.7749,-122.419,http://www.shmaltz.com/
Shmaltz Enterprises,3435 Cesar Chavez #227,San Francisco,California,37.7481,-122.419,
Short's Brewing Company,121 N. Bridge Street,Bellaire,Michigan,44.9763,-85.2104,http://www.shortsbrewing.com
Sierra Nevada Brewing Co.,1075 East 20th Street,Chico,California,39.7246,-121.816,http://www.sierranevada.com/
Siletz Roadhouse & Brewery,243 North Gaither Street,Siletz,Oregon,44.722,-123.918,
Silver Gulch Brewing Company,2195 Old Steese Highway,Fox,Alaska,64.9583,-147.622,http://www.ptialaska.net/~gbrady/
Silverado Brewing,3020 St. Helena Highway North,Saint Helena,California,38.5243,-122.497,
Sioux Falls Brewing,,Sioux Falls,South Dakota,43.55,-96.7003,
Six Rivers Brewery,1300 Central Avenue,McKinleyville,California,40.9491,-124.102,http://www.sixriversbrewery.com/
Sixpoint Craft Ales,40 Van Dyke St,Brooklyn,New York,40.674,-74.0118,http://www.sixpointcraftales.com/
Skagit River Brewing,404 South Third Street,Mount Vernon,Washington,48.4192,-122.335,
Slab City Brewing,,Bonduel,Wisconsin,44.7403,-88.4448,
Sleeping Lady Brewing Company,717 W. 3rd Ave,Anchorage,Alaska,61.2196,-149.896,http://www.alaskabeers.com/
Sly Fox Brewhouse and Eatery - Phoenixville,519 Kimberton Road,Phoenixville,Pennsylvania,40.1298,-75.5499,http://www.slyfoxbeer.com/index1.asp
Sly Fox Brewhouse and Eatery - Royersford,312 North Lewis Road,Royersford,Pennsylvania,40.1943,-75.534,http://www.slyfoxbeer.com/index1.asp
Smoky Mountain Brewing,424 South Gay Street,Knoxville,Tennessee,35.9657,-83.9181,
Smuttynose Brewing Co.,225 Heritage Ave,Portsmouth,New Hampshire,43.0325,-70.7948,http://www.smuttynose.com/
Snake River Brewing,265 S. Millward,Jackson,Wyoming,43.4768,-110.765,http://www.snakeriverbrewing.com
Snipes Mountain Microbrewery & Restaurant,905 Yakima Valley Highway,Sunnyside,Washington,46.3284,-120.008,
Snowshoe Brewing - Sonora,,Sonora,California,37.9841,-120.382,
Sockeye,3019 N Cole Rd,Boise,Idaho,43.6326,-116.275,
Socorro Springs Brewing,1012 North California Street,Socorro,New Mexico,34.0701,-106.893,
Sonoran Brewing Company,10426 East Jomax Road,Scottsdale,Arizona,33.7268,-111.853,http://www.sonoranbrewing.com/
South County Brewing Co.,104 Mill St.,Fawn Grove,Pennsylvania,39.7323,-76.4496,http://www.southcountybrewing.com/
South Shore Brewery,808 West Main Street,Ashland,Wisconsin,46.5872,-90.8921,
Southampton Publick House,40 Bowden Square,Southampton,New York,40.8903,-72.3927,http://southamptonbrewery.com
Southend Brewery and Smokehouse - Charleston,161 East Bay Street,Charleston,South Carolina,32.7785,-79.9273,
Southern Star Brewing Company,1207 N. FM 3083 E.,Conroe,Texas,30.3489,-95.4427,http://www.southernstarbrewery.com/
Southern Tier Brewing Co,2051A Stoneman Circle,Lakewood,New York,42.1008,-79.3357,http://www.southerntierbrewing.com/
Spanish Peaks Brewing,Polson MT 59860,Polson,Montana,47.6959,-114.176,http://www.blackdogales.com/
Speakeasy Ales and Lagers,1195-A Evans Avenue,San Francisco,California,37.7387,-122.381,
Spilker Ales,300 West Fourth Street,Cortland,Nebraska,40.5058,-96.707,
Spoetzl Brewery,603 East Brewery Street,Shiner,Texas,29.426,-97.1607,http://www.shiner.com
Sports City Cafe & Brewery,,La Jolla,California,33.8575,-117.876,
Sprecher Brewing,701 West Glendale Avenue,Glendale,Wisconsin,43.1,-87.9198,http://www.sprecherbrewery.com/
Spring House Brewing Company,2519 Main St.,Conestoga,Pennsylvania,39.9525,-76.3295,http://www.springhousebeer.com/
Springfield Brewing,305 South Market Street,Springfield,Missouri,37.2079,-93.2955,
St John Brewers,,St. John,Virgin Islands,18.3368,-64.7281,http://www.stjohnbrewers.com/index.html
St. Stan's Brewing Co.,821 L Street,Modesto,California,37.6417,-121.004,http://www.ststans.com/
Standing Stone Brewing Company,101 Oak Street,Ashland,Oregon,42.1976,-122.715,http://www.standingstonebrewing.com/
Steamworks Brewing - Durango,801 East Second Avenue,Durango,Colorado,37.2724,-107.88,
Steel Brewing,,Longview,Texas,32.5007,-94.7405,
Steve and Clark's Brew Pub and Sausage Co. #2,,Durham,North Carolina,35.994,-78.8986,
Stevens Point Brewery,2617 Water Street,Stevens Point,Wisconsin,44.5104,-89.5734,
Stewart's Brewing,219 Governor's Square,Bear,Delaware,39.6318,-75.6628,
Stillwater Artisanal Ales,,Baltimore,Maryland,39.2904,-76.6122,http://www.stillwaterales.com/
Stone Brewing Co.,1999 Citracado Parkway,Escondido,California,33.1157,-117.12,http://www.stonebrew.com/
Stone Cellar Brewpub & Restaurant,1004 South Olde Oneida,Appleton,Wisconsin,44.2536,-88.4037,
Stone City Brewing,,Solon,Iowa,41.8072,-91.4941,
Stone Coast Brewing - Portland,23 Rice Street,Portland,Maine,43.71,-70.305,
Stonecutters Brewhouse,14 N Main St.,Barre,Vermont,44.1972,-72.5019,http://www.stonecuttersbrewhouse.com/
Stoney Creek Brewing Company,237 Joseph Campau,Detroit,Michigan,42.3372,-83.0186,
Stoudt's Brewery,2800 North Reading Road,Adamstown,Pennsylvania,40.2369,-76.072,http://www.stoudtsbeer.com/brewery.html
Stout Brothers Public House,,Milwaukee,Wisconsin,43.0389,-87.9065,
Straub Brewery,303 Sorg Street,St. Mary's,Pennsylvania,41.4277,-78.5539,http://www.straubbeer.com/index.htm
Stroh Brewery Company,,Tampa,Florida,27.9494,-82.4651,
Sturgeon Bay Brewing,,Sturgeon Bay,Wisconsin,44.8342,-87.377,
Sudwerk Privatbrauerei Hbsch,2001 Second Street,Davis,California,38.5472,-121.726,
Sullivan's Black Forest Brew Haus & Grill,281 Heinlein Strasse,Frankenmuth,Michigan,43.3152,-83.7314,
Summit Brewing,910 Montreal Circle,Saint Paul,Minnesota,44.9139,-93.1396,http://www.summitbrewing.com/
Surly Brewing,4811 Dusharme Drive,Brooklyn Center,Minnesota,45.0429,-93.3246,http://www.surlybrewing.com/
Sweet Water Tavern and Brewery,45980 Waterview Plaza,Sterling,Virginia,39.0324,-77.4097,http://www.greatamericanrestaurants.com/sweetMainSter/index.htm
Sweetwater Brewing - Atlanta,195 Ottley Drive,Atlanta,Georgia,33.8087,-84.3813,http://www.sweetwaterbrew.com/
Sweetwater Brewing - Casper,,Casper,Wyoming,42.8666,-106.313,
Sweetwater Tavern - Centreville,14250 Sweetwater Lane,Centreville,Virginia,38.8289,-77.4393,
Switchback Brewing Co,PO Box 4210,Burlington,Vermont,43.3906,-79.8049,
"T-Bonz Gill, Grill and Brewery",1028 Johnny Dodds Boulevard,Mount Pleasant,South Carolina,32.8091,-79.875,
Tabernash Brewing,,Longmont,Colorado,40.1672,-105.102,
Tablerock,705 Fulton St,Boise,Idaho,43.6113,-116.206,http://www.tablerockbrewpub.com/
Tailgate Beer,6648 Reservoir Ln,San Diego,California,32.7732,-117.055,http://www.tailgatebeer.com/indexmain.php
Tampa Bay Brewing,1812 North 15th Street,Tampa,Florida,27.9607,-82.4433,
Tap Room Brewing Company,,La Crosse,Wisconsin,43.8014,-91.2396,http://www.taproom21.com/
Taylor Brewing,717 East Butterfield Road,Lombard,Illinois,41.8358,-88.0091,
Taylor's Restaurant and Brewery,,San Diego,California,32.7153,-117.157,
Tenaya Creek Restaurant and Brewery,3101 North Tenaya Way,Las Vegas,Nevada,36.2154,-115.251,
Terminal Gravity Brewing,803 SE School Street,Enterprise,Oregon,45.4192,-117.272,
Terrapin Beer Company,196 Alps Road,Athens,Georgia,33.9459,-83.4105,http://www.terrapinbeer.com/
The Alchemist,23 South Main Street,Waterbury,Vermont,44.3372,-72.756,http://www.alchemistbeer.com/
The Blind Bat Brewery LLC,420 Harrison Drive,Centerport,New York,40.8959,-73.3811,http://www.blindbatbrewery.com/
The Bruery,715 Dunn Way,Placentia,California,33.8614,-117.88,http://www.thebruery.com/
The Cambridge House,357 Salmon Brook Street,Granby,Connecticut,41.9658,-72.793,http://www.cambridgebrewhouse.com/
The Church Brew Works,3525 Liberty Avenue,Pittsburgh,Pennsylvania,40.4624,-79.9645,http://churchbrew.com/
The Hop Yard,Bollinger Canyon Rd.,San Ramon,California,37.7839,-122.001,http://www.hopyard.com/
The Livery,190 5th Street,Benton Harbor,Michigan,42.1185,-86.4537,http://liverybrew.com/
The Lost Abbey,155 Mata Way Suite 104,San Marcos,California,33.1406,-117.15,http://www.lostabbey.com/
The Narragansett Brewing Company,60 Ship Street,Providence,Rhode Island,41.819,-71.4097,http://www.narragansettbeer.com
The Round Barn Winery & Brewery,10983 Hills Road,Baroda,Michigan,41.9211,-86.4583,http://www.roundbarnwinery.com/brewery.php
Third Street Ale Works,610 Third Street,Santa Rosa,California,38.4398,-122.713,http://www.thirdstreetaleworks.com
Thirsty Dog Brewing,529 Grant St. Suite B,Akron,Ohio,41.0689,-81.5172,http://www.thirstydog.com
ThirstyBear Brewing,661 Howard Street,San Francisco,California,37.7855,-122.4,
Thomas Creek Brewery,2054 Piedmont Highway,Greenville,South Carolina,34.7968,-82.4245,
Thomas Hooker Brewing,16 Tobey Road,Bloomfield,Connecticut,41.8087,-72.7108,http://www.hookerbeer.com/
Thomas Kemper Brewing,91 South Royal Brougham,Seattle,Washington,47.5924,-122.334,
Three Floyds Brewing,9750 Indiana Parkway,Munster,Indiana,41.5354,-87.5158,http://www.threefloydspub.com/
Three Needs Brewery and Taproom,207 College Street,Burlington,Vermont,44.4771,-73.2115,
Thunder Canyon Brewery,7401 North La Cholla Boulevard,Tucson,Arizona,32.3407,-111.015,http://www.thundercanyonbrewery.com/
Thunderhead Brewery,18 East 21st Street,Kearney,Nebraska,40.6966,-99.0815,
Thunderhead Brewery #2,120 East Third Street,Grand Island,Nebraska,40.9259,-98.3397,
Tied House Cafe & Brewery - San Jose,65 North San Pedro,San Jose,California,37.3362,-121.894,
Titletown Brewing,200 Dousman Street,Green Bay,Wisconsin,44.52,-88.0173,
Tivoli Brewing,,Denver,Colorado,39.7392,-104.985,
Tommyknocker Brewery and Pub,1401 Miner Street,Idaho Springs,Colorado,39.7418,-105.518,http://www.tommyknocker.com/
Top of the Hill Restaurant and Brewery,101 East Franklin Street,Chapel Hill,North Carolina,35.9132,-79.0558,
Trade Winds Brewing,,Wailuku,Hawaii,20.8911,-156.505,
Traffic Jam and Snug,4268 Second Street,Detroit,Michigan,42.351,-83.0665,
Trailhead Brewing Company,921 South Riverside Drive,Saint Charles,Missouri,38.7745,-90.484,
Trap Rock Restaurant and Brewery,279 Springfield Avenue,Berkeley Heights,New Jersey,40.6892,-74.4349,
Trinity Brewing Company,1446 Garden of the Gods,Colorado Springs,Colorado,38.8967,-104.855,http://trinitybrew.com/
Triple Rock Brewery,1920 Shattuck Avenue,Berkeley,California,37.8734,-122.269,
Triumph Brewing of New Hope,400 Union Square,New Hope,Pennsylvania,40.3659,-74.9544,http://www.triumphbrewing.com/
Triumph Brewing of Princeton,138 Nassau Street,Princeton,New Jersey,40.3507,-74.6583,
Troegs Brewing,800 Paxton Street,Harrisburg,Pennsylvania,40.2559,-76.8715,http://www.troegs.com/
Trout River Brewing,58 Broad Street,Lyndonville,Vermont,44.5203,-72.0014,http://www.troutriverbrewing.com/
Tunner's Guild Brewing Systems,,Saint Paul,Minnesota,44.9442,-93.0861,
Tuppers Hop Pocket Ale,6404 Redwing Road,Bethesda,Maryland,38.9735,-77.1272,
Tustin Brewing,13011 Newport Avenue #100,Tustin,California,33.7496,-117.812,
Twin Ports Brewing,,Superior,Wisconsin,46.7208,-92.1041,
Twin Rivers Brewing,104 North Lewis Street,Monroe,Washington,47.8559,-121.971,
Twisted Pine Brewing Company,3201 Walnut Street Ste A,Boulder,Colorado,40.0201,-105.251,http://www.twistedpinebrewing.com/
Two Brothers Brewing,30 Butterfield Road,Warrenville,Illinois,41.8206,-88.2068,http://www.twobrosbrew.com/
Two Dogs Beverage Company,272 Plandome Road,Manhasset,New York,40.7964,-73.699,
TwoRows Restaurant & Brewery - Dallas,5500 Greenville Avenue #1300,Dallas,Texas,32.8545,-96.7687,
Tyranena Brewing,1025 Owen Street,Lake Mills,Wisconsin,43.0862,-88.8967,http://www.tyranena.com
Uinta Brewing Compnay,1722 South Fremont Drive (2375 West),Salt Lake City,Utah,40.7326,-111.954,http://www.uintabrewing.com/
Ukiah Brewing,102 South State Street,Ukiah,California,39.1498,-123.208,
Umpqua Brewing,,Roseburg,Oregon,43.2165,-123.342,
Union Barrel Works,6 N. Reamstown Road,Reamstown,Pennsylvania,40.2118,-76.1232,http://www.unionbarrelworks.com/
Union Colony Brewery,,Greeley,Colorado,40.4233,-104.709,
Upland Brewing,350 West Eleventh Street,Bloomington,Indiana,39.1733,-86.5369,http://www.uplandbeer.com
Upper Mississippi Brewing,,Clinton,Iowa,41.8445,-90.1887,
Upstream Brewing Company at Legacy,17070 Wright Plaza,Omaha,Nebraska,41.2331,-96.1811,
Upstream Brewing Old Market,514 South Eleventh Street,Omaha,Nebraska,41.2553,-95.9306,http://www.upstreambrewing.com/
Utah Brewers Cooperative,1763 South 300 West,Salt Lake City,Utah,40.7322,-111.9,http://www.utahbeers.com/
Valley Brewing Company,1950 W. Fremont St.,Stockton,California,37.9551,-121.322,http://www.valleybrew.com/
Valley Forge Brewing,,Wayne,Pennsylvania,40.0439,-75.3881,
Vermont Pub & Brewery,144 College St.,Burlington,Vermont,44.4773,-73.2144,http://www.vermontbrewery.com/
Victory Brewing,420 Acorn Lane,Downingtown,Pennsylvania,40.0061,-75.6942,http://www.victorybeer.com
Viking Brewing,234 Dallas Street West,Dallas,Wisconsin,45.2585,-91.8181,
Vintage 50 Restaurant and Brew Lounge,50 Catoctin Ct. NE #100,Leesburg,Virginia,39.1126,-77.5537,http://www.vintage50.com/
"Voodoo Brewing Co.,LLC",215 1/5 Arch St.,Meadville,Pennsylvania,41.6372,-80.1549,http://www.voodoobrewery.com/
Wachusetts Brewing Company,175 State Road East,Westminster,Massachusetts,42.5586,-71.8715,http://www.wachusettbrew.com
Wagner Valley Brewing,9322 State Route 414,Lodi,New York,42.5739,-76.8582,
Wainwright Brewing,3410 Sassafras Street,Pittsburgh,Pennsylvania,40.4616,-79.9653,
Walking Man Brewery,240 SW First Street,Stevenson,Washington,45.6922,-121.885,http://www.walkingmanbrewing.com/
Walldorff Brew Pub,105 East State Street,Hastings,Michigan,42.6488,-85.2875,http://walldorffbrewpub.com/
Watch City Brewing,256 Moody Street,Waltham,Massachusetts,42.3718,-71.2367,
Water Street Brewery,1101 North Water Street,Milwaukee,Wisconsin,43.0448,-87.9114,
Water Street Lake Country,3191 Golf Road,Delafield,Wisconsin,43.0525,-88.3663,
Water Tower Brewing,,Eden Prairie,Minnesota,44.8652,-93.4095,
Watson Brothers Brewhouse,,Blue Ash,Ohio,39.232,-84.3783,
Weeping Radish Restaurant and Brewery - Manteo,525 N Virginia Dare Road,Manteo,North Carolina,35.8859,-75.6697,
Weinkeller Brewery - Berwyn,,Berwyn,Illinois,41.8506,-87.7937,
Western Reserve Brewing,,Cleveland,Ohio,41.4995,-81.6954,
Weyerbacher Brewing Company,905 Line Street,Easton,Pennsylvania,40.6732,-75.2249,http://www.weyerbacher.com/
Wharf Rat,206 W. Pratt St.,Baltimore,Maryland,39.2866,-76.6182,http://www.thewharfrat.com
White Marsh Brewing Company,8149 Honeygo Blvd,White Marsh,Maryland,39.3722,-76.4638,http://www.redbrickstation.com/
White Oak Cider,18452 NE Ribbon Ridge Road,Newberg,Oregon,45.3498,-123.073,
White Winter Winery,7665 US Highway 2,Iron River,Wisconsin,47.3812,-94.6669,
Widmer Brothers Brewing,929 North Russell Street,Portland,Oregon,45.5408,-122.676,
Wild Duck Brewing,,Eugene,Oregon,44.0521,-123.087,
"Wild Goose Brewery, LLC",4607 Wedgewood Blvd.,Fredrick,Maryland,39.3628,-77.4265,http://www.wildgoosebrewery.com/
Wild Onion Brewing,,Lake Barrington,Illinois,42.2108,-88.1652,
Wild River Brewing and Pizza - Cave Junction,249 North Redwood Highway,Cave Junction,Oregon,42.1707,-123.645,
William Kuether Brewing,,Clear Lake,Wisconsin,45.2519,-92.2713,
Willoughby Brewing,4057 Erie Street,Willoughby,Ohio,41.6416,-81.4066,
Wilmington Brewing,,Wilmington,North Carolina,34.2257,-77.9447,
Wisconsin Brewing,,Wauwatosa,Wisconsin,43.0495,-88.0076,
Wolf Pack Brewing,111 South Canyon Street,West Yellowstone,Montana,44.6584,-111.1,
Wolf Tongue Brewery,35 E. First St.,Nederland,Colorado,39.9619,-105.51,
Wynkoop Brewing,1634 18th Street,Denver,Colorado,39.7535,-104.998,http://www.wynkoop.com/
Yakima Brewing and Malting / Grant's Ales,,Yakima,Washington,46.6021,-120.506,
Yamhill Brewing,,Portland,Oregon,45.5235,-122.676,
Yards Brewing,2439 Amber Street,Philadelphia,Pennsylvania,39.9831,-75.1274,
Zea Rotisserie and Brewery,1525 St. Charles Avenue,New Orleans,Louisiana,29.9386,-90.076,http://www.zearestaurants.com
Yegua Creek Brewing - Dallas,2920 North Henderson Ave,Dallas,Texas,32.821,-96.7848,
Yuengling & Son Brewing,310 Mill Creek Avenue,Pottsville,Pennsylvania,40.7,-76.1747,http://www.yuengling.com
Yellowstone Valley Brewing,2123 1st Avenue North,Billings,Montana,45.7861,-108.498,http://www.yellowstonevalleybrew.com
Yazoo Brewing,910 Division St,Nashville,Tennessee,36.151,-86.7821,http://www.yazoobrew.com
Baxter Brewing,,Lewiston,Maine,44.1004,-70.2148,
Aviator Brewing Company,209 Technology Park Lane,Fuquay Varina,North Carolina,35.6197,-78.8085,http://www.aviatorbrew.com/
